country_a,country_b,year,comlang,comethno,dist_cepii,dist_mc,gdpa,gdpb,gdpcomb,gpi_a,gpi_b,hhmi_a,hhmi_b,polity_a,polity_b,polity_aff,lor,lorb,loravg,igo_count,igo_weights,mn,treaty_count,treaty_weight,iln,unga,bits_sig_binary,tradeindex,imports,exports,totaltrade,exports_per,imports_per,totaltrade_per,totaltrade_per_b,totaltrade_per_gdp_a,totaltrade_per_gdp_b,lntotaltrade,expectedtrade,actminusexptrade,fdi_inflows,fdi_outflows,fdi_outstock,fdi_instock,arms_imports,arms_exports,arms_imports_per,arms_exports_per,arms_total,arms_total_percent,arms_imports_ma,arms_exports_ma,arms_imports_stock,arms_exports_stock,arms_imports_stock_per,arms_exports_stock_per,arms_imports_stock_per_b,arms_exports_stock_per_b,milspenda,milspendb,milstocka,milstockb,armsstock_milstock_a,armsstock_milstock_b,rivalry,shared_disputes,directed_dispute_complainant,directed_dispute_respondent,mepv_inttot,mepv_civtot,mepv_actotal,mid_binary,mid_fatlev,mid_highact,allianceindex,remit_a,remit_b,remit_a_per_gdp_a,remit_b_per_gdp_b,aid_a,aid_b,aid_a_per_gdp_a,aid_b_per_gdp_b,migrantstocktotal,migrantstockmale,migrantstockfemale
Djibouti,Afghanistan,1977,0,0,3668.116,3579.638424883096,.32499999,4.8140001,5.1389999,.0020499099,.046462599,.026956048,.15191972,2,3,19,0,0,0,4,84.137161,.12056521,2.25,25.962795,.042848397,.97169811,0,0,,,,,,,,,,,-2.9410372,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.025675001,.105908,37.736031,.2045642,0,0,0,,,,0,0,0,0,,,0,,,,,0,0,0,0,,,
Madagascar,Afghanistan,1993,0,0,6370.1421,6380.379498500599,6.2150002,5.2119999,11.427,.036489539,.044550002,.11375561,.13666646,19,10,11,0,0,0,19,221.39308,.25929245,38.5,294.69351,.23877628,.95918369,0,0,0,0,0,0,0,0,0,0,0,,-.89965063,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.068365,.310114,.9301697,3.0632627,0,0,0,,,,0,0,0,0,,,0,,,,,0,0,0,0,,,
Venezuela,Afghanistan,1988,0,0,13208.57,13211.00680641872,186.5,5.3709998,191.871,.33024427,.039872989,.46456048,.13627517,19,10,11,0,0,0,18,185.86505,.2678757,31.75,226.70467,.24348485,.96268654,0,0,0,0,0,0,0,0,0,0,0,,.7138629,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.73,.41356701,29.719303,2.7606218,0,0,0,,,,0,0,0,0,,,0,,,,,0,0,0,0,,,
Peru,Afghanistan,2000,0,0,15811.19,15488.67381463425,92.980003,7.0419998,100.022,.16796565,.050770562,.29762861,.14058907,15,3,8,0,0,0,19.75,239.62688,.25174725,38.25,375.69928,.21747391,,0,0,.021779375,.071298957,.09307833,7.7277900e-06,2.3605737e-06,4.9631835e-06,.00014462035,1.0010575e-06,.000013217599,-2.3743138,-.082089357,-2.2922244,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.67364,.24647,18.82012,2.9976897,0,0,0,,,,0,0,0,0,,,0,,,,,0,0,0,0,6,4,2
East Germany,Afghanistan,1982,,,,,,5.059,,,.044378322,,.13869038,1,10,11,1,1,1,11,129.24048,.17911004,17,116.08255,.14192969,.872549,0,0,29.510489,0,29.510489,0,.0022410131,.0012246425,.023834206,,.0058332654,3.3847458,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,.237773,,1.4484373,0,0,0,,,,0,0,0,0,,,5,,,,,0,0,0,,,,
El Salvador,Afghanistan,2002,0,0,14203.46,14099.6710740896,19.549999,8.4680004,28.018,.037572559,.054324202,.10793241,.14257541,17,10,13,0,0,0,19.75,248.21216,.25233695,36.75,397.09158,.20952435,,0,0,,,,,,,,,,,-.98581827,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.2737,.237104,3.3146241,2.8518891,0,0,0,,,,0,0,0,0,,,0,,,,,0,0,0,0,,,
Romania,Afghanistan,1978,,,,3748.771765576811,133.7,4.862,138.562,.57237786,.045998242,.67611206,.14912924,2,10,12,.38,.38,.38,16,169.81685,.24874222,29.75,155.75473,.25425884,.91836733,0,0,,0,,0,,,,,,,2.1516614,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,8.5567999,.111826,48.714428,.78843218,0,0,0,,,,0,0,0,0,,,0,,,,,0,0,0,0,,,
Cote d'Ivoire,Afghanistan,1962,0,0,8144.624,8021.900980964525,4.8699999,3.836,8.7059994,.033679154,.051166385,.12634605,.1847472,1,0,19,0,0,0,10,129.89857,.26720414,10,68.878242,.15543659,.8114754,0,0,0,,,,0,,,,,,-1.6806808,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.006331,.037209202,.016567798,.099491641,0,0,0,,,,0,0,0,0,,,0,,,,,0,0,0,0,,,
Bhutan,Afghanistan,1960,0,0,2103.501,2311.070562751438,.0261,3.737,3.7630999,.000990959,.058101565,.0050402679,.22521068,0,0,20,0,0,0,,,,,,,,,,,,,,,,,,,,-5.0578375,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.00036539999,.0362489,.00036539999,.0362489,0,0,0,,,,,,,,,,0,,,,,,,,,,,
Bahamas,Afghanistan,1998,0,0,12518.58,12401.76939946965,,6.882,,.010691608,.051904682,.0437962,.14565842,,3,,0,0,0,13,205.4758,.2214172,28.75,263.1384,.17996155,.93243241,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.052023999,.28904399,1.0587021,3.0779734,0,0,0,,,,,,,0,,,0,,,,,0,0,0,,,,
South Vietnam,Afghanistan,1971,,,,,,4.5349998,,,.047934797,,.16196893,10,3,13,0,0,0,13.75,145.00417,.27313659,0,0,0,,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,.072559997,,.49062109,0,0,0,,,,0,7,7,0,,,0,,,,,0,0,0,,,,
West Germany,Afghanistan,1953,0,0,5226.5142,,,,,,,,,20,0,0,0,0,0,5.75,89.867348,.29767385,1,7.9016843,.026272448,,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,,,,0,,,0,,,,,,,,,,,
Benin,Afghanistan,2003,0,0,7481.0059,7253.693884221753,5.5339999,9.1829996,14.716999,.019565154,.057381995,.089130007,.14981885,16,10,14,0,0,0,23.75,278.07623,.27936372,46.5,467.22784,.23467119,.98958331,0,0,.11419316,,,,.00020752611,,,,,,-.68349326,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.055339999,.19284301,.47177446,2.7595432,0,0,0,,,,0,0,0,0,,,0,,,,,0,0,0,0,,,
West Germany,Afghanistan,1976,0,0,5226.5142,,1861,4.7659998,1865.766,6.3707223,.047028966,4.2748513,.15362415,20,3,3,.5,1,.75,17,172.21051,.25698534,22.75,147.21167,.23974481,.6179775,0,0,166.0079,90.671936,256.67984,.00023139997,.00042366167,.00034897876,.10857694,.00013792576,.053856451,5.5478296,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,74.067802,.109618,531.98035,.71764076,0,0,0,,,,,,,0,,,0,,,,,50.386581,0,.010572091,0,,,
Japan,Afghanistan,1973,0,0,6278.0161,6188.167287675728,2476,4.6259999,2480.626,4.5856361,.047383737,3.7694278,.1611065,20,3,3,1,1,1,17,173.09853,.31185114,19,130.89261,.22393291,.71739131,0,0,5.0761423,165.12689,170.20303,.00097044423,.000029832288,.00047364953,.11463623,.00006874113,.036792703,5.136992,4.1248975,1.0120945,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,19.808001,.087894,119.17933,.5677371,0,0,0,,,,0,0,0,0,,,0,,,,,6.25632,0,.0013524254,0,,,
Dominican Republic,Afghanistan,1993,0,0,12709.28,12584.31580664087,21.02,5.2119999,26.232,.055753205,.044550002,.13201961,.13666646,16,10,14,0,0,0,17,221.13483,.25898999,36.75,295.61749,.23952493,.88999999,0,0,0,0,0,0,0,0,0,0,0,,-1.0476012,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.16816001,.310114,1.5689467,3.0632627,0,0,0,,,,0,0,0,0,,,0,,,,,0,0,0,0,,,
Saint Lucia,Afghanistan,1982,0,0,12492.83,12360.63785482063,.34400001,5.059,5.4029999,.00098736398,.044378322,.034676485,.13869038,,10,,0,0,0,12,160.39619,.2222877,6.75,57.483601,.070283003,,0,0,,,,,,,,,,,-4.5259056,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.002752,.237773,.01010608,1.004516,0,0,0,,,,,,,0,,,0,,,,,0,0,0,0,,,
Papua New Guinea,Afghanistan,2010,0,0,9528.0088,9363.513498527551,11.37028,16.84058,28.210861,.010815267,.035275321,.0694746,.17479242,14,10,16,0,0,0,27.5,268.30603,.26853177,49.25,496.15506,.284417,.921875,0,0,,,,,,,,,,,.041503154,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.056850001,.62308002,.60319674,3.0089664,0,0,0,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,
Djibouti,Afghanistan,1999,0,0,3668.116,3579.638424883096,.79100001,7.171,7.9619999,.003166307,.052071173,.048951626,.14212316,12,3,11,0,0,0,18,222.96774,.23688285,20,190.50624,.11872013,,0,0,,,,,,,,,,,-1.8462598,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.043505002,.2760835,4.101542,3.0030222,0,0,0,,,,0,0,0,0,,,0,,,,,0,0,0,0,,,
Serbia,Afghanistan,2006,,,,4108.761997010027,40.400002,10.89,51.290001,.094748266,.022280533,.18558092,.16325997,18,10,12,0,0,0,22.5,291.77039,.28862479,70.75,698.62988,.34094545,.77027029,0,0,,,,,,,,,,,1.7511641,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.092984,.19602001,1.092984,.19602001,0,0,0,,,,,,,0,,,0,,,,,0,0,0,0,,,
Pakistan,Afghanistan,1995,0,0,374.65219,583.6762835033999,117.4,6.3800001,123.78,.59556305,.050723549,.92111552,.14543182,18,10,12,1,1,1,26,249.4838,.26324701,46.25,305.37601,.23106645,.96323532,0,3,,,,,,,,,,,2.8759892,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,6.2221999,.33495,47.957394,3.0710154,0,0,0,,,,0,1,1,0,,,0,,,,,0,0,0,0,,,
Italy,Afghanistan,2014,,,,4811.918989056415,,,,,,,,20,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,35.68,.70499998,379.93625,5.141479,,,0,,,,,,,,,,,.61507827,,,,,,,,,,
China,Afghanistan,1959,0,0,4180.438,4246.641853642403,,,,,,,,2,0,18,0,.5,.25,3,34.263699,.083733931,11.25,59.825485,.14941871,,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,0,6,6,0,,,0,,,,,,,,,,,
China,Afghanistan,1977,0,0,4180.438,4246.641853642403,293.60001,4.8140001,298.414,4.9254222,.046462599,6.6958842,.15191972,3,3,20,.75,1,.875,13,157.24364,.22532389,16.25,74.289368,.12260546,.89855075,0,0,25.50186,20.78067,46.282532,.00096825889,.001188239,.0010991739,.015287519,.00015763805,.0096141528,3.8347647,2.7168565,1.1179082,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,35.231998,.105908,246.01718,.75178468,0,0,0,,,,0,0,0,0,,,5,,,,,0,0,0,0,,,
Barbados,Afghanistan,2011,0,0,12465.55,12318.79936152479,4.3679771,17.880711,22.248688,.0041449908,.038405295,.03940884,.17857108,,10,,0,0,0,20.75,269.9577,.26655495,53.75,554.49744,.32603219,,0,0,.016619699,,,,.000013973368,,,,,,-1.2845917,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.030576,.84035999,.37978676,3.552372,0,0,0,,,,,,,0,,,0,0,0,0,0,0,0,0,0,,,
Cabo Verde,Afghanistan,1978,0,0,9324.5801,9171.057051401527,.185,4.862,5.0469999,.001196857,.045998242,.039165676,.14912924,6,10,16,0,0,0,11,152.06395,.22273836,5,46.18203,.075388975,.93548387,0,0,,,,,,,,,,,-4.4783521,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.0061050002,.111826,.018475994,.38881785,0,0,0,,,,0,0,0,0,,,0,,,,,0,0,0,0,,,
South Korea,Afghanistan,2007,0,0,5131.8882,5333.589512771343,1052,12.39,1064.39,1.5386767,.025425578,1.2395117,.1682706,18,10,12,1,1,1,32.5,319.43875,.31328845,62.25,636.63434,.33787256,.76249999,0,0,.13506779,118.2287,118.36377,.00029985455,3.4256229e-07,.00015512206,.028643988,.00011251309,.0095531689,4.7737627,4.3978028,.37595987,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,27.351999,.29736,198.66667,2.5836124,0,0,0,,,,0,0,0,0,,,0,,,,,3.8830044,0,.00031339825,0,,,
Bhutan,Afghanistan,2013,0,0,2103.501,2311.070562751438,1.9679101,21.409389,23.3773,.0031604921,.050468132,.029675512,.18922262,15,10,15,0,0,0,28.25,262.83279,.2602984,50.25,349.82001,.23489781,.94915253,0,0,,,,,,,,,,,.10018482,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.02751,1.3482,.17406161,4.9294209,0,0,0,,,,0,0,0,0,,,0,,,,,,,,,,,
Vanuatu,Afghanistan,2000,0,0,11938.98,12001.53244802848,.58200002,7.0419998,7.6239996,.00086303701,.050770562,.025912071,.14058907,,3,,0,0,0,14,219.68881,.23080072,12.75,147.32158,.085277244,,0,0,,,,,,,,,,,-3.7293308,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.00291,.24647,.020938072,2.8504841,0,0,0,,,,,,,0,,,0,,,,,0,0,0,0,,,
Cuba,Afghanistan,1986,0,0,12952.4,12834.54872900969,46.700001,5.2649999,51.965,.17458044,.042242054,.32084042,.13952968,3,10,13,1,1,1,16,156.4155,.20641601,40.75,234.70554,.2507982,.96938777,0,0,,,,,,,,,,,-.40822306,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.9614,.44226,16.976782,2.4219329,0,0,0,,,,0,0,0,0,,,0,,,,,0,0,0,0,,,
Belarus,Afghanistan,1949,0,0,3880.8999,3730.320591213028,,,,,,,,,0,,0,0,0,,,,,,,.65625,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,
Antigua and Barbuda,Afghanistan,2013,0,0,12297.09,,,21.409389,,,.050468132,,.18922262,,10,,0,0,0,18.75,269.37469,.26677719,55,554.6311,.37242475,.96610171,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.3482,0,4.8920031,0,0,0,,,,,,,0,,,0,,,,,,,,,,,
Iraq,Afghanistan,1976,0,0,2285.353,2105.881522990481,33.82,4.7659998,38.585999,.26898882,.047028966,.38307375,.15362415,3,3,20,.5,1,.75,17,164.7148,.24579966,22.5,103.19581,.16806181,.98795182,0,0,0,4.5454545,4.5454545,.00012465057,0,.000089419285,.0019227515,.00013440137,.00095372531,1.5141277,1.2798132,.23431456,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.81704,.109618,34.676559,.71764076,0,0,0,,,,0,5,5,0,,,0,,,,,0,0,0,0,,,
Andorra,Afghanistan,2010,0,0,5806.3589,,,16.84058,,,.035275321,,.17479242,,10,,0,0,0,13.5,172.54884,.172694,35.75,422.7579,.24234267,,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,.62308002,,3.0147042,0,0,0,,,,,,,0,,,0,0,,0,,0,0,0,,,,
Andorra,Afghanistan,1950,0,0,5806.3589,,,,,,,,,,0,,0,0,0,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,,,,,,,0,,,0,,,,,,,,,,,
